date,schmidt.stability_mean,schmidt.stability_median,schmidt.stability_min,schmidt.stability_max,schmidt.stability_sd,schmidt.stability_mean_lag,schmidt.stability_median_lag,schmidt.stability_min_lag,schmidt.stability_max_lag,schmidt.stability_sd_lag,schmidt.stability_mean_diff,schmidt.stability_median_diff,schmidt.stability_min_diff,schmidt.stability_max_diff,schmidt.stability_sd_diff
2012-07-19,566.7535292730372,570.3040416385477,537.5763740491427,605.0622919198535,16.846358923620496,505.3992482118279,505.19243425593413,475.83276976377255,530.5179061041978,12.068429339932868,61.35428106120929,65.11160738261356,61.74360428537017,74.54438581565569,4.777929583687628
2012-07-26,495.0976594821285,496.5199415064126,458.28474576789176,514.5147777196635,11.334344561814667,566.7535292730372,570.3040416385477,537.5763740491427,605.0622919198535,16.846358923620496,-71.6558697909087,-73.78410013213511,-79.29162828125095,-90.54751420019,-5.512014361805829
2012-08-02,513.5980740736068,513.9291119744025,487.69881489331027,540.2165765261938,11.230863360039784,495.0976594821285,496.5199415064126,458.28474576789176,514.5147777196635,11.334344561814667,18.50041459147826,17.409170467989952,29.414069125418507,25.70179880653029,-0.1034812017748834
2012-08-09,553.9147089275688,547.9103489879047,530.6361924193528,593.950528086649,17.06997848316144,513.5980740736068,513.9291119744025,487.69881489331027,540.2165765261938,11.230863360039784,40.316634853962,33.98123701350221,42.93737752604255,53.73395156045524,5.839115123121655
2012-08-16,554.5881159853395,554.9159487531729,517.7893992347596,576.14162021045,11.78617124959186,553.9147089275688,547.9103489879047,530.6361924193528,593.950528086649,17.06997848316144,0.6734070577707598,7.00559976526813,-12.846793184593253,-17.808907876198987,-5.283807233569579
2012-08-23,489.38148591786813,490.644547972762,457.23542589730897,512.1836603945197,11.988319634702087,554.5881159853395,554.9159487531729,517.7893992347596,576.14162021045,11.78617124959186,-65.2066300674714,-64.27140078041089,-60.5539733374506,-63.95795981593028,0.20214838511022748
2012-08-30,430.1248384855507,431.8104442739667,397.9660840688992,474.87544414734583,17.35016478501152,489.38148591786813,490.644547972762,457.23542589730897,512.1836603945197,11.988319634702087,-59.256647432317436,-58.834103698795275,-59.26934182840978,-37.3082162471739,5.361845150309431
2012-09-06,364.3197879303059,363.3365174410046,336.7952475718579,405.70583668507965,12.473294599606374,430.1248384855507,431.8104442739667,397.9660840688992,474.87544414734583,17.35016478501152,-65.8050505552448,-68.47392683296209,-61.17083649704131,-69.16960746226619,-4.876870185405144
2012-09-13,245.03479853445162,245.19691252075734,184.53817588648687,285.3319153660388,20.590026125129786,364.3197879303059,363.3365174410046,336.7952475718579,405.70583668507965,12.473294599606374,-119.28498939585427,-118.13960492024728,-152.25707168537102,-120.37392131904085,8.116731525523411
2012-09-20,26.783371845755376,19.327299340143902,0,79.49380824095071,26.65033507633042,245.03479853445162,245.19691252075734,184.53817588648687,285.3319153660388,20.590026125129786,-218.25142668869626,-225.86961318061344,-184.53817588648687,-205.83810712508807,6.060308951200636
2012-09-27,4.513409477345591,0.7335104996615862,0,27.002027557328688,6.726864534429049,26.783371845755376,19.327299340143902,0,79.49380824095071,26.65033507633042,-22.269962368409786,-18.593788840482315,0,-52.491780683622025,-19.923470541901374
2012-10-05,2.8173673989591594,2.4530642590776504,0,8.757153586641484,2.821937835498005,0.12113277134687038,0,0,3.57117845507439,0.5068346071068418,2.6962346276122893,2.4530642590776504,0,5.185975131567094,2.3151032283911634
