date,windsp_cumsum_1day,windsp_cumsum_2day,windsp_cumsum_3day,windsp_cumsum_5day,windsp_cumsum_7day,windsp_cumsum_10day,windsp_cumsum_14day,windsp_cumsum_1day_in,windsp_cumsum_2day_in,windsp_cumsum_3day_in,windsp_cumsum_1day_out,windsp_cumsum_2day_out
2013-08-29,80.20333333333333,130.13666666666666,165.32833333333332,321.7635333333333,466.3297333333333,665.7730666666666,914.0164,NA,NA,NA,NA,NA
2013-09-05,97.63833333333334,201.78333333333333,264.94,374.51053333333334,504.908,670.2363333333333,971.2377333333333,97.63833333333334,201.78333333333333,NA,NA,NA
2013-09-11,77.92833333333333,132.35216666666668,209.7605,401.9233,569.0866333333333,796.6349666666666,1059.1029666666666,NA,NA,NA,NA,NA
2013-09-18,62.02333333333333,132.30666666666667,234.54999999999998,406.8677333333333,552.2544,762.0149,1121.3410333333334,62.02333333333333,NA,NA,NA,NA
2013-09-25,91.96566666666666,216.02066666666667,353.419,578.7673333333333,684.734,919.3073333333333,1237.8634,94.54233333333333,228.674,366.4273333333333,NA,NA
2013-10-02,86.72833333333334,158.90333333333334,192.72833333333332,285.8553333333333,388.96366666666665,742.3826666666666,1073.6976666666667,NA,NA,NA,NA,NA
2014-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-12,83.27666666666667,157.27,218.90526666666668,NA,NA,NA,NA,NA,NA,NA,83.27666666666667,157.27
2014-06-19,98.25833333333334,213.44666666666666,269.64166666666665,433.2418666666667,608.3235333333333,827.2288,NA,98.25833333333334,213.44666666666666,NA,NA,NA
2014-06-26,76.35666666666667,148.09,255.96833333333333,365.79,548.7283333333334,818.37,1157.0518666666667,NA,NA,NA,NA,NA
2014-07-02,78.05666666666666,176.71333333333334,263.58666666666664,371.05,485.085,722.6216666666667,1055.715,105.11333333333333,190.695,NA,NA,NA
2014-07-09,96.40666666666667,200.96066666666667,290.1998,566.1531333333334,713.5664666666667,977.1531333333334,1198.6514666666667,NA,NA,NA,NA,NA
2014-07-17,74.965,126.00999999999999,199.001,385.8793333333333,476.146,749.9116666666666,1207.5008,74.965,NA,NA,NA,NA
