"covariate_name","global_linear_r2","global_Pearsons_r","global_Spearmans_r","global_quad_r2","linear_r2_2009","Pearsons_r_2009","Spearmans_r_2009","quad_r2_2009","linear_r2_2010","Pearsons_r_2010","Spearmans_r_2010","quad_r2_2010","linear_r2_2011","Pearsons_r_2011","Spearmans_r_2011","quad_r2_2011","linear_r2_2012","Pearsons_r_2012","Spearmans_r_2012","quad_r2_2012","linear_r2_2013","Pearsons_r_2013","Spearmans_r_2013","quad_r2_2013","linear_r2_2014","Pearsons_r_2014","Spearmans_r_2014","quad_r2_2014"
"AveWindSp_ms_sd_1daylag_in","0.02","-0.17","-0.15","0.03","-0.14","0","0.07","-0.3","-0.06","-0.11","-0.07","-0.13","0.05","-0.34","-0.37","-0.02","-0.05","0.16","0.07","-0.14","-0.08","-0.02","-0.04","-0.1","0.15","-0.46","-0.26","0.33"
"AveWindSp_ms_mean_2daylag_in","-0.01","-0.01","-0.01","-0.02","0.34","0.67","0.75","0.18","-0.07","-0.12","-0.18","-0.17","-0.02","0.23","0.14","0.01","-0.04","-0.2","-0.06","-0.14","-0.1","-0.06","-0.07","-0.12","-0.02","-0.24","-0.11","-0.01"
"AveWindSp_ms_median_2daylag_in","-0.01","0.01","0","-0.02","0.41","0.71","0.75","0.26","-0.07","-0.13","-0.09","-0.16","-0.01","0.24","0.16","0.07","-0.01","-0.26","-0.14","-0.04","-0.1","0.01","0.02","-0.17","-0.01","-0.27","-0.08","0.05"
"AveWindSp_ms_min_2daylag_in","-0.01","-0.02","0.08","0.03","-0.09","0.3","0.64","0","-0.07","0.12","-0.06","-0.15","0.02","0.3","0.42","0.04","-0.08","-0.08","-0.15","-0.15","-0.01","-0.28","0.05","0.13","-0.04","-0.19","0","0.01"
"AveWindSp_ms_max_2daylag_in","-0.01","-0.01","-0.05","-0.03","0.17","0.55","0.32","0.07","-0.08","-0.07","-0.15","-0.16","-0.08","0","-0.13","0.13","-0.05","-0.18","-0.16","0.07","-0.1","-0.01","-0.05","-0.22","-0.01","-0.27","-0.25","-0.06"
"AveWindSp_ms_sd_2daylag_in","-0.01","-0.07","-0.12","-0.02","-0.1","0.29","0.43","0.76","-0.02","-0.25","-0.22","-0.11","0.02","-0.29","-0.34","-0.07","-0.01","-0.25","-0.31","0","0.02","0.33","0.24","0.03","-0.05","-0.16","-0.11","0.15"
"AveWindSp_ms_mean_3daylag_in","0.05","0.26","0.25","0.07","-0.1","0.29","-0.14","0.33","-0.07","-0.14","-0.19","-0.08","0.58","0.78","0.78","0.54","0.14","0.46","0.49","0.07","-0.01","0.24","0.11","-0.09","-0.1","0.02","0.31","0.47"
"AveWindSp_ms_median_3daylag_in","0.07","0.28","0.28","0.1","-0.06","0.34","-0.18","0.32","-0.09","-0.03","-0.16","-0.13","0.56","0.77","0.81","0.52","0.1","0.42","0.32","0.04","-0.02","0.23","0.21","-0.1","-0.1","0.01","0.33","0.52"
"AveWindSp_ms_min_3daylag_in","0.13","0.38","0.3","0.12","-0.15","0.2","-0.07","0.42","-0.09","0.04","0.04","-0.2","0.53","0.75","0.8","0.54","-0.02","0.24","0.29","-0.1","0.31","0.6","0.38","0.36","-0.09","-0.08","0.26","0.27"
"AveWindSp_ms_max_3daylag_in","0.03","0.22","0.18","0.02","-0.15","0.21","0.11","0.4","-0.07","-0.14","-0.33","0.03","0.49","0.73","0.8","0.51","0.03","0.32","0.23","-0.05","-0.07","0.08","-0.22","0.3","-0.06","0.2","0.33","-0.17"
"AveWindSp_ms_sd_3daylag_in","-0.01","0.02","0.01","-0.01","-0.15","0.21","0.04","0.07","0.01","-0.31","-0.41","-0.07","0.07","0.38","0.39","-0.01","0.06","0.37","0.37","-0.01","0.02","-0.3","-0.4","0.57","-0.09","0.11","0.23","-0.16"
"AveWindSp_ms_mean_1weeklag_in","-0.01","-0.07","-0.04","0","0.1","0.5","0.64","-0.12","-0.08","-0.02","0.11","-0.16","-0.08","-0.08","-0.03","-0.17","0.08","-0.37","-0.43","0.04","-0.06","0.11","0.27","0.13","-0.08","-0.13","-0.29","-0.11"
"AveWindSp_ms_median_1weeklag_in","-0.01","-0.04","-0.01","-0.01","0.41","0.71","0.89","0.29","-0.08","0","0","-0.15","-0.08","0.06","0.18","-0.17","0.13","-0.44","-0.48","0.18","-0.05","0.17","0.32","0.06","-0.06","-0.19","-0.36","-0.04"
"AveWindSp_ms_min_1weeklag_in","-0.01","0.08","0.06","-0.02","-0.16","0.19","0.14","0.82","-0.08","-0.02","-0.04","-0.1","-0.07","0.11","-0.01","0.51","-0.07","-0.07","-0.19","-0.1","-0.05","0.15","0.3","-0.03","-0.09","0.09","-0.2","-0.2"
"AveWindSp_ms_max_1weeklag_in","0.02","-0.18","-0.1","0.06","-0.06","0.34","0.43","0.03","-0.08","-0.04","0","-0.13","-0.01","-0.25","-0.24","-0.07","-0.03","-0.2","-0.2","-0.09","-0.07","-0.09","0.14","0.17","-0.08","-0.13","-0.12","-0.04"
"AveWindSp_ms_sd_1weeklag_in","0.04","-0.24","-0.13","0.09","-0.16","-0.18","-0.21","-0.4","-0.06","0.14","0.15","-0.13","0","-0.27","-0.17","0.02","-0.01","-0.24","-0.29","-0.09","0","-0.27","-0.09","0.09","-0.08","-0.13","-0.17","-0.06"
"windsp_cumsum_1day_in","0.07","-0.29","-0.2","0.05","-0.09","-0.21","-0.03","-0.26","-0.06","-0.22","-0.15","-0.16","-0.14","0.04","0.17","-0.03","-0.06","-0.24","-0.08","0.16","-0.08","-0.21","-0.07","0","-0.02","-0.33","-0.25","-0.08"
"windsp_cumsum_2day_in","0.09","-0.37","-0.35","0.11","-0.21","-0.18","-0.14","-0.31","0.43","0.84","0.5","NaN","0",NA,NA,"0","-0.46","-0.52","-0.5","NaN","0.3","-0.73","-0.6","0.98","0.99","-1","-0.5","NaN"
"AveWindSp_ms_mean_out","0.07","-0.32","-0.39","0.05","0.13","0.75","0.5","NaN","-0.33","-0.03","-0.56","-0.57","-0.09","-0.43","-0.5","0.14","-0.84","-0.28","-0.5","NaN","-0.21","-0.17","-0.26","-0.23","-0.08","-0.44","-0.4","0.41"
"AveWindSp_ms_median_out","0.02","-0.24","-0.34","-0.02","0.83","0.96","0.5","NaN","0.07","0.55","0.15","0.6","-0.12","-0.4","-0.5","-0.02","-0.66","-0.41","-0.5","NaN","-0.24","-0.07","-0.26","-0.33","-0.21","-0.31","-0.3","0.27"
"AveWindSp_ms_min_out","0.1","-0.37","-0.39","0.07","-0.97","-0.11","-0.5","NaN","-0.15","0.37","-0.31","0.07","0.29","-0.69","-0.6","0.07","-0.93","0.19","-0.5","NaN","-0.14","-0.29","-0.15","-0.39","0.63","-0.85","-1","0.53"
"AveWindSp_ms_max_out","0.04","-0.28","-0.3","0","0.59","0.89","0.5","NaN","-0.2","-0.32","-0.56","-0.71","-0.23","-0.28","-0.5","0.81","-1","-0.04","-0.5","NaN","-0.16","-0.27","-0.44","-0.36","-0.3","-0.15","-0.2","0.32"
"AveWindSp_ms_sd_out","-0.02","-0.13","-0.16","-0.06","0.58","0.89","0.5","NaN","-0.16","-0.36","-0.1","-0.69","0.45","0.76","0.7","0.2","-0.86","-0.27","-0.5","NaN","-0.25","0.02","-0.38","0.51","-0.31","-0.14","-0.1","0.35"
"AveWindSp_ms_mean_1daylag_out","-0.02","0.14","0.11","-0.04","0",NA,NA,"0","-0.44","0.21","-0.4","-0.63","-0.27","0.21","0.21","0.08","-0.21","0.3","0.2","-0.75","-0.17","0.35","0.15","-0.48","-0.5","0.04","0.2","0.09"
"AveWindSp_ms_median_1daylag_out","-0.03","0.13","0.09","-0.05","0",NA,NA,"0","-0.42","0.22","-0.4","-0.29","-0.31","0.14","0.1","-0.26","-0.17","0.35","0.1","0.66","-0.31","0.13","0.15","-0.86","-0.31","0.36","0.4","0.81"
"AveWindSp_ms_min_1daylag_out","0.03","0.27","0.28","0.05","0",NA,NA,"0","0.07","0.62","0.2","0.07","-0.28","0.2","0.05","0.05","0.11","0.57","0.7","0.97","0.06","0.55","0.56","0.33","-0.46","-0.16","0.2","-1.24"
"AveWindSp_ms_max_1daylag_out","-0.04","0.09","0.14","-0.07","0",NA,NA,"0","-0.5","0.05","-0.4","-0.32","-0.33","0.05","0.1","0.16","-0.12","-0.4","-0.5","-0.18","0.33","0.71","0.67","0.43","-0.5","0.05","0.2","-0.39"
"AveWindSp_ms_sd_1daylag_out","-0.04","0.08","0.11","-0.07","0",NA,NA,"0","-0.48","-0.12","-0.4","-0.28","-0.32","-0.09","0.05","-0.22","-0.13","-0.39","-0.7","-0.26","0.49","0.79","0.82","0.4","0.21","0.69","0.4","0.18"
"AveWindSp_ms_mean_2daylag_out","0","0.18","0.1","0","NaN","1","1","NaN","0.11","0.54","0.09","0.98","-0.01","0.49","0.22","0.44","-0.09","0.36","0.17","-0.42","0.03","-0.41","-0.36","-0.15","0.29","-0.72","-0.4","-0.36"
"AveWindSp_ms_median_2daylag_out","0.02","0.23","0.17","0","NaN","1","1","NaN","0.06","0.49","-0.03","0.65","0.13","0.59","0.22","0.84","-0.12","0.32","0.17","-0.44","-0.12","-0.19","-0.2","-0.24","-0.42","-0.23","-0.2","0.9"
"AveWindSp_ms_min_2daylag_out","-0.02","0.12","0.01","0.05","NaN","-1","-1","NaN","0.22","0.61","0.26","0.77","-0.14","-0.38","-0.45","-0.68","-0.24","-0.09","-0.41","-0.63","-0.16","0.05","0.28","-0.17","0.05","-0.61","-0.8","0.06"
"AveWindSp_ms_max_2daylag_out","-0.03","0.08","0.02","-0.06","NaN","1","1","NaN","0.1","0.53","0.26","0.69","-0.14","0.38","0.22","0.45","-0.03","0.42","0.4","-0.33","0.56","-0.79","-0.73","0.55","-0.16","-0.48","-0.4","-0.41"
"AveWindSp_ms_sd_2daylag_out","-0.03","0.03","-0.02","-0.07","NaN","1","1","NaN","-0.04","0.41","0.31","-0.34","0.11","0.58","0.22","0.89","0.02","0.46","0.41","-0.27","0.64","-0.83","-0.93","0.73","-0.32","-0.35","-0.4","0.76"
"AveWindSp_ms_mean_3daylag_out","-0.03","0.06","-0.07","0.16","NaN","1","1","NaN","-0.2","0","-0.18","0.63","0.88","0.95","0.94","0.87","-0.17","-0.25","-0.46","-0.34","-0.33","0.04","-0.2","-0.97","-0.08","-0.44","-0.6","0.07"
"AveWindSp_ms_median_3daylag_out","-0.03","0.07","-0.03","0.06","NaN","1","1","NaN","-0.2","0.05","-0.18","0.53","0.77","0.9","0.94","0.93","-0.18","-0.23","-0.14","-0.56","-0.33","0.04","-0.1","-0.96","0.01","-0.51","-0.6","0.06"
"AveWindSp_ms_min_3daylag_out","-0.01","0.15","0.03","-0.01","NaN","1","1","NaN","-0.2","0.03","-0.18","0.03","0.73","0.88","0.94","0.76","-0.06","0.39","0.06","-0.39","-0.27","-0.22","-0.1","-0.88","-0.13","-0.39","-0.5","-0.69"
"AveWindSp_ms_max_3daylag_out","-0.03","-0.02","-0.1","0.12","NaN","1","1","NaN","-0.2","0.02","-0.21","0.07","0.52","0.78","0.52","0.55","0.14","-0.56","-0.64","0.42","-0.07","-0.45","-0.3","0.73","-0.28","-0.21","-0.2","-0.88"
"AveWindSp_ms_sd_3daylag_out","-0.03","-0.06","-0.02","-0.05","NaN","1","1","NaN","-0.18","0.14","0.21","-0.32","0.09","0.52","0.33","0.06","0.56","-0.81","-0.67","0.66","0.14","-0.59","-0.1","0.63","-0.29","0.19","0.1","-0.15"
"AveWindSp_ms_mean_1weeklag_out","-0.03","-0.09","-0.17","-0.05","NaN","-1","-1","NaN","-0.33","0.07","-0.3","-0.54","-0.18","-0.23","-0.14","-0.27","0.35","-0.75","-0.2","1","-0.32","-0.1","-0.21","-0.01","-0.04","0.47","0.2","-0.13"
"AveWindSp_ms_median_1weeklag_out","-0.04","-0.04","-0.14","-0.06","NaN","-1","-1","NaN","0.05","0.53","0.1","0.69","-0.19","-0.22","-0.14","-0.33","0.63","-0.87","-0.4","0.76","-0.31","0.13","0.1","-0.69","-0.06","0.46","0.5","-0.3"
"AveWindSp_ms_min_1weeklag_out","-0.03","-0.11","-0.09","-0.06","NaN","-1","-1","NaN","0.65","0.86","0.3","0.8","0.19","-0.59","-0.54","-0.02","-0.41","-0.24","-0.2","-1.15","-0.24","-0.26","-0.21","-0.07","0.09","0.57","0.2","-0.22"
"AveWindSp_ms_max_1weeklag_out","-0.03","-0.07","-0.22","0.06","NaN","-1","-1","NaN","-0.25","-0.24","-0.3","-0.38","-0.24","0.09","0.03","0.73","-0.07","-0.54","-0.2","0.62","-0.14","-0.38","-0.41","-0.15","-0.04","0.47","0.1","0.81"
"AveWindSp_ms_sd_1weeklag_out","-0.04","0.01","-0.05","-0.08","NaN","-1","-1","NaN","-0.14","-0.38","-0.7","-0.56","0.42","0.73","0.85","0.61","0.33","-0.75","-0.2","1","-0.33","-0.06","-0.21","0.07","-0.24","0.27","0","0.89"
"windsp_cumsum_1day_out","-0.1","-0.09","-0.41","-0.16","0",NA,NA,"0","-0.74","0.36","-0.5","NaN","-0.49","0.1","-0.6","-0.74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
