site,date,year,dayofyr,coloniesperL,filbundperL,totalperL
HerrickCoveSouth,2011-10-06,2011,279,0,0,0
Newbury,2011-10-06,2011,279,0.007,0,0.007
HerrickCoveSouth,2012-02-16,2012,47,0,0,0
HerrickCoveSouth,2012-02-16,2012,47,0,0,0
NorthSunapeeHarbor,2012-03-29,2012,89,0,0,0
SouthOfTheFells,2012-03-29,2012,89,0,0,0
HerrickCoveSouth,2012-03-29,2012,89,0,0,0
Newbury,2012-03-29,2012,89,0,0,0
NorthSunapeeHarbor,2012-04-13,2012,104,0,0,0
SouthOfTheFells,2012-04-13,2012,104,0,0,0
HerrickCoveSouth,2012-04-13,2012,104,0,0,0
Newbury,2012-04-13,2012,104,0,0,0
NorthSunapeeHarbor,2012-04-19,2012,110,0,0,0
SouthOfTheFells,2012-04-19,2012,110,0,0,0
HerrickCoveSouth,2012-04-19,2012,110,0,0,0
Newbury,2012-04-19,2012,110,0,0,0
NorthSunapeeHarbor,2012-05-03,2012,124,0,0,0
SouthOfTheFells,2012-05-03,2012,124,0,0,0
HerrickCoveSouth,2012-05-03,2012,124,0,0,0
Newbury,2012-05-03,2012,124,0,0,0
NorthSunapeeHarbor,2012-05-10,2012,131,0,0,0
SouthOfTheFells,2012-05-10,2012,131,0,0,0
HerrickCoveSouth,2012-05-10,2012,131,0,0,0
Newbury,2012-05-10,2012,131,0,0,0
NorthSunapeeHarbor,2012-05-17,2012,138,0,0,0
SouthOfTheFells,2012-05-17,2012,138,0,0,0
HerrickCoveSouth,2012-05-17,2012,138,0,0,0
Newbury,2012-05-17,2012,138,0,0,0
NorthSunapeeHarbor,2012-05-24,2012,145,0,0,0
SouthOfTheFells,2012-05-24,2012,145,0,0,0
HerrickCoveSouth,2012-05-24,2012,145,0,0,0
Newbury,2012-05-24,2012,145,0,0,0
NorthSunapeeHarbor,2012-05-31,2012,152,0,0,0
SouthOfTheFells,2012-05-31,2012,152,0.007,0,0.007
HerrickCoveSouth,2012-05-31,2012,152,0,0,0
Newbury,2012-05-31,2012,152,0.007,0,0.007
NorthSunapeeHarbor,2012-06-07,2012,159,0,0,0
SouthOfTheFells,2012-06-07,2012,159,0,0,0
HerrickCoveSouth,2012-06-07,2012,159,0.042,0.007,0.05
Newbury,2012-06-07,2012,159,0,0,0
NorthSunapeeHarbor,2012-06-14,2012,166,0.007,0,0.007
SouthOfTheFells,2012-06-14,2012,166,0.021,0,0.021
HerrickCoveSouth,2012-06-14,2012,166,0.141,0,0.141
Newbury,2012-06-14,2012,166,0.035,0.007,0.042
NorthSunapeeHarbor,2012-06-21,2012,173,0.014,0,0.014
SouthOfTheFells,2012-06-21,2012,173,0.05,0,0.05
HerrickCoveSouth,2012-06-21,2012,173,0.502,0.007,0.509
Newbury,2012-06-21,2012,173,0.014,0,0.014
NorthSunapeeHarbor,2012-06-28,2012,180,0,0,0
SouthOfTheFells,2012-06-28,2012,180,0.071,0.007,0.078
HerrickCoveSouth,2012-06-28,2012,180,0.007,0,0.007
Newbury,2012-06-28,2012,180,0.099,0,0.099
NorthSunapeeHarbor,2012-07-05,2012,187,0.014,0,0.014
SouthOfTheFells,2012-07-05,2012,187,0.106,0,0.106
HerrickCoveSouth,2012-07-05,2012,187,0.283,0.021,0.304
Newbury,2012-07-05,2012,187,0.163,0.007,0.17
NorthSunapeeHarbor,2012-07-12,2012,194,0.042,0,0.042
SouthOfTheFells,2012-07-12,2012,194,0.665,0.191,0.856
HerrickCoveSouth,2012-07-12,2012,194,0.085,0.028,0.113
Newbury,2012-07-12,2012,194,0.531,0.12,0.651
NorthSunapeeHarbor,2012-07-19,2012,201,0.177,0.099,0.276
SouthOfTheFells,2012-07-19,2012,201,0.813,0.198,1.012
HerrickCoveSouth,2012-07-19,2012,201,0.226,0.057,0.283
Newbury,2012-07-19,2012,201,4.025,0.007,4.032
NorthSunapeeHarbor,2012-07-26,2012,208,0.141,0.007,0.149
SouthOfTheFells,2012-07-26,2012,208,0.453,0.113,0.566
HerrickCoveSouth,2012-07-26,2012,208,0.403,0.092,0.495
Newbury,2012-07-26,2012,208,0.898,0.184,1.082
NorthSunapeeHarbor,2012-08-02,2012,215,0.134,0.021,0.156
SouthOfTheFells,2012-08-02,2012,215,0.431,0.149,0.58
HerrickCoveSouth,2012-08-02,2012,215,0.587,0.092,0.679
Newbury,2012-08-02,2012,215,0.163,0,0.163
NorthSunapeeHarbor,2012-08-09,2012,222,0.078,0,0.078
SouthOfTheFells,2012-08-09,2012,222,0.587,0.248,0.835
HerrickCoveSouth,2012-08-09,2012,222,0.835,0.34,1.174
Newbury,2012-08-09,2012,222,0.41,0.057,0.467
NorthSunapeeHarbor,2012-08-16,2012,229,0.057,0.007,0.064
SouthOfTheFells,2012-08-16,2012,229,0.156,0.021,0.177
HerrickCoveSouth,2012-08-16,2012,229,0.12,0.035,0.156
Newbury,2012-08-16,2012,229,0.156,0.042,0.198
NorthSunapeeHarbor,2012-08-23,2012,236,0.042,0.007,0.05
SouthOfTheFells,2012-08-23,2012,236,0.255,0.092,0.347
HerrickCoveSouth,2012-08-23,2012,236,0.276,0,0.276
Newbury,2012-08-23,2012,236,0.615,0.064,0.679
NorthSunapeeHarbor,2012-08-30,2012,243,0.035,0,0.035
SouthOfTheFells,2012-08-30,2012,243,0.269,0.007,0.276
HerrickCoveSouth,2012-08-30,2012,243,0.679,0,0.679
Newbury,2012-08-30,2012,243,0.318,0,0.318
NorthSunapeeHarbor,2012-09-06,2012,250,0.085,0,0.085
SouthOfTheFells,2012-09-06,2012,250,0.898,0,0.898
HerrickCoveSouth,2012-09-06,2012,250,0.566,0,0.566
Newbury,2012-09-06,2012,250,0.156,0,0.156
NorthSunapeeHarbor,2012-09-13,2012,257,0.028,0,0.028
SouthOfTheFells,2012-09-13,2012,257,0.149,0,0.149
HerrickCoveSouth,2012-09-13,2012,257,0.644,0,0.644
Newbury,2012-09-13,2012,257,0.424,0,0.424
NorthSunapeeHarbor,2012-09-20,2012,264,0.035,0,0.035
SouthOfTheFells,2012-09-20,2012,264,0.099,0,0.099
HerrickCoveSouth,2012-09-20,2012,264,0.325,0,0.325
Newbury,2012-09-20,2012,264,0.057,0,0.057
NorthSunapeeHarbor,2012-09-27,2012,271,0,0,0
SouthOfTheFells,2012-09-27,2012,271,0.064,0,0.064
HerrickCoveSouth,2012-09-27,2012,271,0.021,0,0.021
Newbury,2012-09-27,2012,271,0.014,0,0.014
NorthSunapeeHarbor,2012-10-05,2012,279,0.014,0,0.014
SouthOfTheFells,2012-10-05,2012,279,0.007,0,0.007
HerrickCoveSouth,2012-10-05,2012,279,0.028,0,0.028
Newbury,2012-10-05,2012,279,0,0,0
NorthSunapeeHarbor,2013-04-24,2013,114,0,0,0
HerrickCoveSouth,2013-04-24,2013,114,0,0,0
Newbury,2013-04-24,2013,114,0,0,0
NorthSunapeeHarbor,2013-05-02,2013,122,0,0,0
HerrickCoveSouth,2013-05-02,2013,122,0,0,0
Newbury,2013-05-02,2013,122,0,0,0
NorthSunapeeHarbor,2013-05-14,2013,134,0,0,0
SouthOfTheFells,2013-05-14,2013,134,0,0,0
HerrickCoveSouth,2013-05-14,2013,134,0,0,0
Newbury,2013-05-14,2013,134,0,0,0
NorthSunapeeHarbor,2013-05-23,2013,143,0,0,0
SouthOfTheFells,2013-05-23,2013,143,0,0,0
HerrickCoveSouth,2013-05-23,2013,143,0,0,0
Newbury,2013-05-23,2013,143,0,0,0
NorthSunapeeHarbor,2013-05-30,2013,150,0,0.007,0.007
SouthOfTheFells,2013-05-30,2013,150,0,0,0
HerrickCoveSouth,2013-05-30,2013,150,0,0,0
Newbury,2013-05-30,2013,150,0,0,0
NorthSunapeeHarbor,2013-06-06,2013,157,0,0,0
SouthOfTheFells,2013-06-06,2013,157,0,0,0
HerrickCoveSouth,2013-06-06,2013,157,0,0,0
Newbury,2013-06-06,2013,157,0,0,0
NorthSunapeeHarbor,2013-06-13,2013,164,0,0,0
SouthOfTheFells,2013-06-13,2013,164,0,0,0
HerrickCoveSouth,2013-06-13,2013,164,0.014,0.007,0.021
Newbury,2013-06-13,2013,164,0.007,0,0.007
NorthSunapeeHarbor,2013-06-20,2013,171,0,0,0
SouthOfTheFells,2013-06-20,2013,171,0.007,0.007,0.014
HerrickCoveSouth,2013-06-20,2013,171,0.021,0,0.021
Newbury,2013-06-20,2013,171,0.014,0,0.014
NorthSunapeeHarbor,2013-06-27,2013,178,0,0,0
SouthOfTheFells,2013-06-27,2013,178,0,0,0
HerrickCoveSouth,2013-06-27,2013,178,0.021,0,0.021
Newbury,2013-06-27,2013,178,0,0,0
NorthSunapeeHarbor,2013-07-03,2013,184,0.007,0,0.007
SouthOfTheFells,2013-07-03,2013,184,0.021,0,0.021
HerrickCoveSouth,2013-07-03,2013,184,0.064,0,0.064
Newbury,2013-07-03,2013,184,0.007,0,0.007
NorthSunapeeHarbor,2013-07-11,2013,192,0,0,0
SouthOfTheFells,2013-07-11,2013,192,0,0,0
HerrickCoveSouth,2013-07-11,2013,192,0.071,0,0.071
Newbury,2013-07-11,2013,192,0.028,0.007,0.035
NorthSunapeeHarbor,2013-07-18,2013,199,0.007,0,0.007
SouthOfTheFells,2013-07-18,2013,199,0.035,0,0.035
HerrickCoveSouth,2013-07-18,2013,199,0.078,0,0.078
Newbury,2013-07-18,2013,199,0.028,0,0.028
NorthSunapeeHarbor,2013-07-25,2013,206,0.226,0.042,0.269
SouthOfTheFells,2013-07-25,2013,206,0.354,0.134,0.488
HerrickCoveSouth,2013-07-25,2013,206,0.304,0.057,0.361
Newbury,2013-07-25,2013,206,1.181,0.658,1.839
NorthSunapeeHarbor,2013-08-01,2013,213,0.078,0,0.078
SouthOfTheFells,2013-08-01,2013,213,0.347,0.099,0.446
HerrickCoveSouth,2013-08-01,2013,213,0.141,0.396,0.538
Newbury,2013-08-01,2013,213,0.325,0.071,0.396
NorthSunapeeHarbor,2013-08-08,2013,220,0.035,0,0.035
SouthOfTheFells,2013-08-08,2013,220,0.41,0.141,0.552
HerrickCoveSouth,2013-08-08,2013,220,0.347,0.085,0.431
Newbury,2013-08-08,2013,220,0.078,0.014,0.092
NorthSunapeeHarbor,2013-08-15,2013,227,0.042,0,0.042
SouthOfTheFells,2013-08-15,2013,227,0.941,0.057,0.997
HerrickCoveSouth,2013-08-15,2013,227,0.467,0.078,0.545
Newbury,2013-08-15,2013,227,2.398,0.177,2.575
NorthSunapeeHarbor,2013-08-22,2013,234,0.028,0,0.028
SouthOfTheFells,2013-08-22,2013,234,2.356,0.177,2.532
HerrickCoveSouth,2013-08-22,2013,234,2.398,0.509,2.907
Newbury,2013-08-22,2013,234,7.922,0.382,8.304
NorthSunapeeHarbor,2013-08-29,2013,241,1.294,0.057,1.351
SouthOfTheFells,2013-08-29,2013,241,0.997,0.191,1.188
HerrickCoveSouth,2013-08-29,2013,241,1.344,0.241,1.584
Newbury,2013-08-29,2013,241,0.149,0.064,0.212
NorthSunapeeHarbor,2013-09-05,2013,248,0.297,0.014,0.311
SouthOfTheFells,2013-09-05,2013,248,1.358,0.071,1.429
HerrickCoveSouth,2013-09-05,2013,248,4.166,0.042,4.209
Newbury,2013-09-05,2013,248,2.313,0.014,2.327
NorthSunapeeHarbor,2013-09-11,2013,254,0.014,0,0.014
SouthOfTheFells,2013-09-11,2013,254,6.472,0.17,6.642
HerrickCoveSouth,2013-09-11,2013,254,9.252,0.191,9.443
Newbury,2013-09-11,2013,254,6.097,0.071,6.168
NorthSunapeeHarbor,2013-09-18,2013,261,0.078,0,0.078
SouthOfTheFells,2013-09-18,2013,261,0.912,0,0.912
HerrickCoveSouth,2013-09-18,2013,261,81.368,0.269,81.636
Newbury,2013-09-18,2013,261,11.134,0.007,11.141
NorthSunapeeHarbor,2013-09-25,2013,268,0.064,0,0.064
SouthOfTheFells,2013-09-25,2013,268,0.431,0,0.431
HerrickCoveSouth,2013-09-25,2013,268,0.46,0,0.46
Newbury,2013-09-25,2013,268,0.347,0.007,0.354
NorthSunapeeHarbor,2013-10-02,2013,275,0.035,0.014,0.05
SouthOfTheFells,2013-10-02,2013,275,0.248,0,0.248
HerrickCoveSouth,2013-10-02,2013,275,0.226,0.007,0.233
Newbury,2013-10-02,2013,275,0.679,0,0.679
NorthSunapeeHarbor,2013-10-09,2013,282,0.028,0,0.028
SouthOfTheFells,2013-10-09,2013,282,0.057,0,0.057
HerrickCoveSouth,2013-10-09,2013,282,0.028,0,0.028
Newbury,2013-10-09,2013,282,0.028,0,0.028
NorthSunapeeHarbor,2014-05-29,2014,149,0,0,0
SouthOfTheFells,2014-05-29,2014,149,0,0,0
HerrickCoveSouth,2014-05-29,2014,149,0,0,0
Newbury,2014-05-29,2014,149,0,0,0
NorthSunapeeHarbor,2014-06-05,2014,156,0,0.014,0.014
SouthOfTheFells,2014-06-05,2014,156,0,0.007,0.007
HerrickCoveSouth,2014-06-05,2014,156,0.007,0,0.007
Newbury,2014-06-05,2014,156,0,0,0
NorthSunapeeHarbor,2014-06-12,2014,163,0.014,0.007,0.021
SouthOfTheFells,2014-06-12,2014,163,0.014,0.014,0.028
HerrickCoveSouth,2014-06-12,2014,163,0,0,0
Newbury,2014-06-12,2014,163,0,0.014,0.014
NorthSunapeeHarbor,2014-06-19,2014,170,0,0,0
SouthOfTheFells,2014-06-19,2014,170,0.113,0.092,0.205
HerrickCoveSouth,2014-06-19,2014,170,0.071,0.064,0.134
Newbury,2014-06-19,2014,170,0.191,0.17,0.361
NorthSunapeeHarbor,2014-06-26,2014,177,0.12,0.092,0.212
SouthOfTheFells,2014-06-26,2014,177,0.035,0.035,0.071
HerrickCoveSouth,2014-06-26,2014,177,0.092,0.134,0.226
Newbury,2014-06-26,2014,177,0.085,0.078,0.163
NorthSunapeeHarbor,2014-07-02,2014,183,0.05,0.014,0.064
SouthOfTheFells,2014-07-02,2014,183,0.127,0.057,0.184
HerrickCoveSouth,2014-07-02,2014,183,0.672,0.651,1.323
Newbury,2014-07-02,2014,183,0.021,0.021,0.042
NorthSunapeeHarbor,2014-07-09,2014,190,0.05,0.05,0.099
SouthOfTheFells,2014-07-09,2014,190,0.361,0.163,0.523
HerrickCoveSouth,2014-07-09,2014,190,3.028,0.7,3.728
Newbury,2014-07-09,2014,190,0.085,0.042,0.127
NorthSunapeeHarbor,2014-07-17,2014,198,0.184,0.078,0.262
SouthOfTheFells,2014-07-17,2014,198,0.099,0.007,0.106
HerrickCoveSouth,2014-07-17,2014,198,0.743,0.191,0.934
NorthSunapeeHarbor,2014-07-23,2014,204,0.276,0.028,0.304
SouthOfTheFells,2014-07-23,2014,204,0.382,0.057,0.439
HerrickCoveSouth,2014-07-23,2014,204,1.026,0.693,1.719
Newbury,2014-07-23,2014,204,0.099,0,0.099
NorthSunapeeHarbor,2014-07-30,2014,211,0.361,0.085,0.446
SouthOfTheFells,2014-07-30,2014,211,0.368,0.007,0.375
HerrickCoveSouth,2014-07-30,2014,211,1.203,0.099,1.302
Newbury,2014-07-30,2014,211,0.828,0.014,0.842
NorthSunapeeHarbor,2014-08-06,2014,218,0.163,0.028,0.191
SouthOfTheFells,2014-08-06,2014,218,0.531,0.028,0.559
HerrickCoveSouth,2014-08-06,2014,218,1.627,0.078,1.705
Newbury,2014-08-06,2014,218,0.474,0,0.474
NorthSunapeeHarbor,2014-08-12,2014,224,0.092,0.021,0.113
SouthOfTheFells,2014-08-12,2014,224,0.446,0.028,0.474
HerrickCoveSouth,2014-08-12,2014,224,0.552,0.028,0.58
Newbury,2014-08-12,2014,224,0.233,0,0.233
NorthSunapeeHarbor,2014-08-20,2014,232,3.516,0.028,3.544
SouthOfTheFells,2014-08-20,2014,232,3.119,0.212,3.332
HerrickCoveSouth,2014-08-20,2014,232,2.44,0.007,2.447
Newbury,2014-08-20,2014,232,4.067,0.078,4.145
NorthSunapeeHarbor,2014-08-27,2014,239,0.905,0.134,1.04
SouthOfTheFells,2014-08-27,2014,239,1.195,0.042,1.238
HerrickCoveSouth,2014-08-27,2014,239,0.283,0.021,0.304
Newbury,2014-08-27,2014,239,22.827,0.877,23.704
NorthSunapeeHarbor,2014-09-04,2014,247,0.75,0.021,0.771
SouthOfTheFells,2014-09-04,2014,247,0.884,0.042,0.927
HerrickCoveSouth,2014-09-04,2014,247,1.139,0.007,1.146
Newbury,2014-09-04,2014,247,6.14,0.064,6.204
NorthSunapeeHarbor,2014-09-10,2014,253,0.955,0.014,0.969
SouthOfTheFells,2014-09-10,2014,253,0.262,0.014,0.276
HerrickCoveSouth,2014-09-10,2014,253,0.403,0,0.403
Newbury,2014-09-10,2014,253,0.106,0,0.106
NorthSunapeeHarbor,2014-09-17,2014,260,0.021,0,0.021
SouthOfTheFells,2014-09-17,2014,260,0.241,0,0.241
HerrickCoveSouth,2014-09-17,2014,260,1.945,0.021,1.966
Newbury,2014-09-17,2014,260,0.608,0.007,0.615
NorthSunapeeHarbor,2014-09-25,2014,268,0.014,0,0.014
SouthOfTheFells,2014-09-25,2014,268,0.028,0,0.028
HerrickCoveSouth,2014-09-25,2014,268,0.099,0,0.099
Newbury,2014-09-25,2014,268,0.014,0,0.014
NorthSunapeeHarbor,2014-10-03,2014,276,0.05,0,0.05
SouthOfTheFells,2014-10-03,2014,276,0.007,0,0.007
HerrickCoveSouth,2014-10-03,2014,276,0.014,0,0.014
Newbury,2014-10-03,2014,276,0.021,0,0.021
NorthSunapeeHarbor,2014-10-10,2014,283,0.007,0,0.007
SouthOfTheFells,2014-10-10,2014,283,0.007,0,0.007
HerrickCoveSouth,2014-10-10,2014,283,0.127,0,0.127
Newbury,2014-10-10,2014,283,0.014,0,0.014
NorthSunapeeHarbor,2015-05-14,2015,134,0,0,0
SouthOfTheFells,2015-05-14,2015,134,0,0,0
HerrickCoveSouth,2015-05-14,2015,134,0,0,0
Newbury,2015-05-14,2015,134,0,0,0
NorthSunapeeHarbor,2015-05-21,2015,141,0,0,0
SouthOfTheFells,2015-05-21,2015,141,0,0,0
HerrickCoveSouth,2015-05-21,2015,141,0.007,0,0.007
Newbury,2015-05-21,2015,141,0,0,0
NorthSunapeeHarbor,2015-05-28,2015,148,0,0,0
SouthOfTheFells,2015-05-28,2015,148,0.007,0,0.007
HerrickCoveSouth,2015-05-28,2015,148,0.113,0.014,0.127
Newbury,2015-05-28,2015,148,0,0,0
NorthSunapeeHarbor,2015-06-05,2015,156,0,0,0
SouthOfTheFells,2015-06-05,2015,156,0,0,0
HerrickCoveSouth,2015-06-05,2015,156,0.007,0,0.007
Newbury,2015-06-05,2015,156,0,0,0
NorthSunapeeHarbor,2015-06-11,2015,162,0,0,0
HerrickCoveSouth,2015-06-11,2015,162,0.014,0,0.014
Newbury,2015-06-11,2015,162,0,0,0
NorthSunapeeHarbor,2015-06-19,2015,170,0,0.014,0.014
SouthOfTheFells,2015-06-19,2015,170,0.035,0.014,0.05
HerrickCoveSouth,2015-06-19,2015,170,0.078,0.014,0.092
Newbury,2015-06-19,2015,170,0.007,0.007,0.014
NorthSunapeeHarbor,2015-07-02,2015,183,0.007,0.007,0.014
SouthOfTheFells,2015-07-02,2015,183,0.064,0.007,0.071
HerrickCoveSouth,2015-07-02,2015,183,0.071,0.007,0.078
Newbury,2015-07-02,2015,183,0.028,0.028,0.057
NorthSunapeeHarbor,2015-07-09,2015,190,0.035,0.014,0.05
SouthOfTheFells,2015-07-09,2015,190,0.035,0,0.035
HerrickCoveSouth,2015-07-09,2015,190,0.028,0.014,0.042
Newbury,2015-07-09,2015,190,0.078,0.035,0.113
NorthSunapeeHarbor,2015-07-16,2015,197,0.092,0.028,0.12
SouthOfTheFells,2015-07-16,2015,197,0.057,0.035,0.092
HerrickCoveSouth,2015-07-16,2015,197,0.141,0.05,0.191
Newbury,2015-07-16,2015,197,0.078,0.021,0.099
NorthSunapeeHarbor,2015-07-23,2015,204,0.134,0.05,0.184
SouthOfTheFells,2015-07-23,2015,204,0.191,0.085,0.276
Newbury,2015-07-23,2015,204,0.304,0.042,0.347
NorthSunapeeHarbor,2015-07-30,2015,211,0.078,0.028,0.106
SouthOfTheFells,2015-07-30,2015,211,1.195,0.219,1.415
HerrickCoveSouth,2015-07-30,2015,211,1.238,0.163,1.401
Newbury,2015-07-30,2015,211,0.63,0.092,0.722
NorthSunapeeHarbor,2015-08-06,2015,218,0.042,0.014,0.057
SouthOfTheFells,2015-08-06,2015,218,0.134,0.057,0.191
HerrickCoveSouth,2015-08-06,2015,218,0.106,0.078,0.184
Newbury,2015-08-06,2015,218,0.163,0.05,0.212
NorthSunapeeHarbor,2015-08-13,2015,225,0.156,0.021,0.177
SouthOfTheFells,2015-08-13,2015,225,0.679,0.085,0.764
HerrickCoveSouth,2015-08-13,2015,225,0.262,0.12,0.382
Newbury,2015-08-13,2015,225,0.516,0.134,0.651
NorthSunapeeHarbor,2015-08-20,2015,232,0.46,0.05,0.509
HerrickCoveSouth,2015-08-20,2015,232,0.722,0.078,0.799
Newbury,2015-08-20,2015,232,0.354,0.106,0.46
NorthSunapeeHarbor,2015-08-25,2015,237,0.439,0.021,0.46
SouthOfTheFells,2015-08-25,2015,237,0.424,0.184,0.608
HerrickCoveSouth,2015-08-25,2015,237,0.566,0.099,0.665
Newbury,2015-08-25,2015,237,0.46,0.042,0.502
NorthSunapeeHarbor,2015-09-03,2015,246,3.332,0.382,3.714
SouthOfTheFells,2015-09-03,2015,246,4.301,0.347,4.647
HerrickCoveSouth,2015-09-03,2015,246,0.884,0.064,0.948
Newbury,2015-09-03,2015,246,12.86,0.594,13.454
NorthSunapeeHarbor,2015-09-10,2015,253,0.594,0.035,0.63
SouthOfTheFells,2015-09-10,2015,253,2.723,0.149,2.872
HerrickCoveSouth,2015-09-10,2015,253,13.595,0.509,14.105
Newbury,2015-09-10,2015,253,1.599,0.134,1.733
NorthSunapeeHarbor,2015-09-17,2015,260,0.7,0,0.7
SouthOfTheFells,2015-09-17,2015,260,1.952,0.057,2.009
HerrickCoveSouth,2015-09-17,2015,260,2.101,0,2.101
Newbury,2015-09-17,2015,260,25.776,0.12,25.896
SouthOfTheFells,2015-09-20,2015,263,0.849,0.233,1.082
NorthSunapeeHarbor,2015-09-24,2015,267,0.17,0.007,0.177
SouthOfTheFells,2015-09-24,2015,267,0.538,0.007,0.545
HerrickCoveSouth,2015-09-24,2015,267,0.771,0,0.771
Newbury,2015-09-24,2015,267,2.207,0.007,2.214
NorthSunapeeHarbor,2015-10-02,2015,275,0.064,0,0.064
SouthOfTheFells,2015-10-02,2015,275,0.17,0,0.17
HerrickCoveSouth,2015-10-02,2015,275,0.382,0,0.382
Newbury,2015-10-02,2015,275,0.113,0,0.113
NorthSunapeeHarbor,2015-10-10,2015,283,0.127,0.035,0.163
NorthSunapeeHarbor,2015-10-12,2015,285,0.014,0,0.014
SouthOfTheFells,2015-10-12,2015,285,0.141,0,0.141
HerrickCoveSouth,2015-10-12,2015,285,0.064,0,0.064
Newbury,2015-10-12,2015,285,0.149,0,0.149
NorthSunapeeHarbor,2016-05-26,2016,147,0.007,0,0.007
SouthOfTheFells,2016-05-26,2016,147,0.064,0,0.064
HerrickCoveSouth,2016-05-26,2016,147,0.064,0.035,0.099
Newbury,2016-05-26,2016,147,0.078,0.035,0.113
NorthSunapeeHarbor,2016-06-03,2016,155,0.085,0.042,0.127
SouthOfTheFells,2016-06-03,2016,155,0.028,0,0.028
HerrickCoveSouth,2016-06-03,2016,155,0.05,0.014,0.064
Newbury,2016-06-03,2016,155,0.014,0.007,0.021
NorthSunapeeHarbor,2016-06-16,2016,168,0.184,0.184,0.368
SouthOfTheFells,2016-06-16,2016,168,0.099,0.042,0.141
HerrickCoveSouth,2016-06-16,2016,168,0.092,0.014,0.106
Newbury,2016-06-16,2016,168,0.311,0.17,0.481
NorthSunapeeHarbor,2016-06-23,2016,175,0.057,0.042,0.099
SouthOfTheFells,2016-06-23,2016,175,0.304,0.241,0.545
HerrickCoveSouth,2016-06-23,2016,175,1.118,0.488,1.606
Newbury,2016-06-23,2016,175,2.928,0.891,3.82
NorthSunapeeHarbor,2016-06-30,2016,182,0.028,0.035,0.064
SouthOfTheFells,2016-06-30,2016,182,0.064,0.028,0.092
HerrickCoveSouth,2016-06-30,2016,182,2.603,0.92,3.523
Newbury,2016-06-30,2016,182,0.099,0.042,0.141
NorthSunapeeHarbor,2016-07-07,2016,189,0.028,0.014,0.042
SouthOfTheFells,2016-07-07,2016,189,0.071,0.042,0.113
HerrickCoveSouth,2016-07-07,2016,189,0.212,0.092,0.304
Newbury,2016-07-07,2016,189,0.014,0.021,0.035
NorthSunapeeHarbor,2016-07-14,2016,196,0.134,0.141,0.276
SouthOfTheFells,2016-07-14,2016,196,0.898,0.955,1.853
HerrickCoveSouth,2016-07-14,2016,196,5.348,3.516,8.863
Newbury,2016-07-14,2016,196,0.198,0.368,0.566
NorthSunapeeHarbor,2016-07-21,2016,203,0.05,0.028,0.078
SouthOfTheFells,2016-07-21,2016,203,0.191,0.071,0.262
HerrickCoveSouth,2016-07-21,2016,203,2.914,0.729,3.643
Newbury,2016-07-21,2016,203,0.177,0.177,0.354
NorthSunapeeHarbor,2016-07-27,2016,209,0.523,0.149,0.672
SouthOfTheFells,2016-07-27,2016,209,1.896,0.566,2.462
HerrickCoveSouth,2016-07-27,2016,209,5.51,1.882,7.392
Newbury,2016-07-27,2016,209,3.551,1.217,4.768
SouthOfTheFells,2016-08-04,2016,217,2.002,0.778,2.78
HerrickCoveSouth,2016-08-04,2016,217,1.386,0.233,1.62
Newbury,2016-08-04,2016,217,0.835,0.481,1.316
NorthSunapeeHarbor,2016-08-15,2016,228,0.424,0.149,0.573
NorthSunapeeHarbor,2016-08-15,2016,228,0.531,0.538,1.068
SouthOfTheFells,2016-08-15,2016,228,0.573,0.17,0.743
SouthOfTheFells,2016-08-15,2016,228,0.637,0.255,0.891
HerrickCoveSouth,2016-08-15,2016,228,3.204,0.552,3.756
HerrickCoveSouth,2016-08-15,2016,228,3.699,0.757,4.456
Newbury,2016-08-15,2016,228,1.188,0.417,1.606
Newbury,2016-08-15,2016,228,1.655,1.231,2.886
NorthSunapeeHarbor,2016-08-22,2016,235,1.294,0.396,1.691
SouthOfTheFells,2016-08-22,2016,235,1.606,0.396,2.002
HerrickCoveSouth,2016-08-22,2016,235,0.538,0.042,0.58
Newbury,2016-08-22,2016,235,0.644,0.035,0.679
NorthSunapeeHarbor,2016-08-31,2016,244,0.552,0.078,0.63
SouthOfTheFells,2016-08-31,2016,244,1.613,0.064,1.676
HerrickCoveSouth,2016-08-31,2016,244,1.988,0.198,2.186
Newbury,2016-08-31,2016,244,3.94,0.219,4.159
NorthSunapeeHarbor,2016-09-07,2016,251,0.488,0.028,0.516
SouthOfTheFells,2016-09-07,2016,251,0.707,0.163,0.87
HerrickCoveSouth,2016-09-07,2016,251,0.467,0.085,0.552
Newbury,2016-09-07,2016,251,0.594,0.156,0.75
NorthSunapeeHarbor,2016-09-14,2016,258,0.318,0.014,0.332
SouthOfTheFells,2016-09-14,2016,258,0.63,0.042,0.672
HerrickCoveSouth,2016-09-14,2016,258,1.358,0.085,1.443
Newbury,2016-09-14,2016,258,0.679,0.028,0.707
NorthSunapeeHarbor,2016-09-21,2016,265,0.608,0.057,0.665
SouthOfTheFells,2016-09-21,2016,265,0.651,0.028,0.679
HerrickCoveSouth,2016-09-21,2016,265,0.955,0.092,1.047
Newbury,2016-09-21,2016,265,0.799,0.078,0.877
NorthSunapeeHarbor,2016-09-28,2016,272,0.028,0.021,0.05
SouthOfTheFells,2016-09-28,2016,272,0.149,0,0.149
HerrickCoveSouth,2016-09-28,2016,272,0.085,0.021,0.106
Newbury,2016-09-28,2016,272,0.149,0,0.149
NorthSunapeeHarbor,2016-10-05,2016,279,0.05,0,0.05
